date,ticker,market_cap_usd,volume_usd
2021-08-19,ZRX,1018847566.25726,28907714.3121154
2021-08-20,ZRX,1054175960.25392,34930254.821174
2021-08-21,ZRX,1070384820.27247,51269632.5667528
2021-08-22,ZRX,1122789773.3873,62092955.6898513
2021-08-23,ZRX,1157049105.49347,64857235.7824749
2021-08-24,ZRX,1073833509.56918,69573627.4146533
2021-08-25,ZRX,1149300137.68136,67350366.5360544
2021-08-26,ZRX,1057880581.50415,56165179.7816248
2021-08-27,ZRX,1104570064.74251,38078709.6718156
2021-08-28,ZRX,1082683710.92631,31060864.7918453
2021-08-29,ZRX,1097479752.89727,60447175.3627108
2021-08-30,ZRX,1048287196.66773,45445114.9305229
2021-08-31,ZRX,1063635147.17823,38973398.3365103
2021-09-01,ZRX,1119967105.27482,52578255.1234508
2021-09-02,ZRX,1118427840.66735,45383953.7585818
2021-09-03,ZRX,1156788241.34453,51798216.5910294
2021-09-04,ZRX,1238504074.3412,102272083.175693
2021-09-05,ZRX,1302201408.44632,83152672.2792639
2021-09-06,ZRX,1278828306.76907,66553878.6213707
2021-09-07,ZRX,1013245415.45087,115591981.87462
2021-09-08,ZRX,1007167023.76693,138425818.53776
2021-09-09,ZRX,1053437385.13869,82718003.1491742
2021-09-10,ZRX,993721439.449697,102551887.015248
2021-09-11,ZRX,1013534363.45464,32809141.3787414
2021-09-12,ZRX,1062055082.30384,34973053.247858
2021-09-13,ZRX,1001374240.31248,37748277.9163546
2021-09-14,ZRX,1063725765.29253,44617969.7007476
2021-09-15,ZRX,1076913106.65798,33781647.8825579
2021-09-16,ZRX,1143918652.93142,183680214.757891
2021-09-17,ZRX,1077881836.56102,59850328.5103458
2021-09-18,ZRX,1111938526.01756,48892738.4000758
2021-09-19,ZRX,1058156506.69107,32335896.0750309
2021-09-20,ZRX,907961527.781189,91767441.1189843
2021-09-21,ZRX,839892420.229385,42017518.6096304
2021-09-22,ZRX,960215210.047466,38983895.6246938
2021-09-23,ZRX,989390520.876977,27598679.3530193
2021-09-24,ZRX,909535294.156763,40555586.3989415
2021-09-25,ZRX,901683751.135731,23916142.9762631
2021-09-26,ZRX,890014775.499462,83020515.9254052
2021-09-27,ZRX,859977991.954753,29583303.7447446
2021-09-28,ZRX,819915721.515772,21989570.8384032
2021-09-29,ZRX,830901932.868651,21939034.1581722
2021-09-30,ZRX,891643508.254458,31285338.4531265
2021-10-01,ZRX,977580701.447645,50965611.6935368
2021-10-02,ZRX,981809375.28877,30876207.776996
2021-10-03,ZRX,1002989310.10879,38314290.9211662
2021-10-04,ZRX,972383606.52089,30942511.2897483
2021-10-05,ZRX,1023539790.5452,39010909.5123535
2021-10-06,ZRX,1030343385.44529,54003639.1038666
2021-10-07,ZRX,1015580420.233,34455723.5085796
2021-10-08,ZRX,1079657129.06339,64905445.3958774
2021-10-09,ZRX,1111942281.15776,53013994.2397297
2021-10-10,ZRX,1044016314.98536,42099076.3375321
2021-10-11,ZRX,1010832363.69342,29951684.6096903
2021-10-12,ZRX,997512784.889709,34732143.8178261
2021-10-13,ZRX,1023684354.04935,30086447.6792745
2021-10-14,ZRX,1027456783.06142,30777905.9931819
2021-10-15,ZRX,1018386951.61385,39246523.4370171
2021-10-16,ZRX,1003400375.29456,25206378.330453
2021-10-17,ZRX,987392420.357424,21578982.1211262
2021-10-18,ZRX,970814715.966348,21300963.3887574
2021-10-19,ZRX,968217234.1306,22238999.9989637
2021-10-20,ZRX,1000727091.96624,21355677.6403657
2021-10-21,ZRX,1008404212.38621,89639696.2374851
2021-10-22,ZRX,1001625324.88513,40112976.825175
2021-10-23,ZRX,1011370234.04921,17846128.9793222
2021-10-24,ZRX,993836497.829298,19857431.2054487
2021-10-25,ZRX,1007524521.33687,22277915.4156459
2021-10-26,ZRX,1066119338.13091,68188221.8446934
2021-10-27,ZRX,939273464.550654,56167170.1905979
2021-10-28,ZRX,974286904.708468,39892756.3691305
2021-10-29,ZRX,1045497914.27346,48518781.7498907
2021-10-30,ZRX,1135360610.17567,269955483.469937
2021-10-31,ZRX,1172544152.16043,1112731953.70952
2021-11-01,ZRX,1232973532.17805,238159515.631411
2021-11-02,ZRX,1315159268.98499,262787614.34379
2021-11-03,ZRX,1237973592.73687,82091206.7120934
2021-11-04,ZRX,1193882058.4101,57897091.8097727
2021-11-05,ZRX,1185710707.35816,49594370.9332274
2021-11-06,ZRX,1232426021.40959,46367640.5933931
2021-11-07,ZRX,1212669278.66044,26942957.5573263
2021-11-08,ZRX,1254151947.58691,59533564.0309152
2021-11-09,ZRX,1314011534.68678,271711631.850298
2021-11-10,ZRX,1206438080.32374,154303480.891934
2021-11-11,ZRX,1319302047.11729,93378935.6709974
2021-11-12,ZRX,1323367781.83317,137317795.303648
2021-11-13,ZRX,1297404868.21281,44735078.0453227
2021-11-14,ZRX,1269208513.99473,30888627.4516266
2021-11-15,ZRX,1228710108.59867,37296828.1723903
2021-11-16,ZRX,1125298705.37366,63606391.4375106
2021-11-17,ZRX,1152441381.36159,48125096.5267061
2021-11-18,ZRX,1057081683.98202,73315961.4186838
2021-11-19,ZRX,1139488504.48707,40572942.5602173
2021-11-20,ZRX,1154570048.53016,25440730.201972
2021-11-21,ZRX,1130503237.81878,21063570.3739998
2021-11-22,ZRX,1081226224.90288,28632680.5051476
2021-11-23,ZRX,1123137784.0985,53225363.9328929
2021-11-24,ZRX,1164040182.98983,82424751.4938484
2021-11-25,ZRX,1168132993.13651,79305098.7614665
2021-11-26,ZRX,1097781051.63006,133230650.991194
2021-11-27,ZRX,1222193621.59968,98888961.4394986
2021-11-28,ZRX,1173210910.65546,62507989.6071295
2021-11-29,ZRX,1204171402.43233,32039599.3156242
2021-11-30,ZRX,1185637050.96836,42995207.5653057
2021-12-01,ZRX,1152659640.10863,37852465.3486343
2021-12-02,ZRX,1117676347.73389,34405637.3551237
2021-12-03,ZRX,1047579969.53371,32397584.253824
2021-12-04,ZRX,890777732.413971,71954532.5154348
2021-12-05,ZRX,833599107.500228,35755138.5061872
2021-12-06,ZRX,862549381.081624,38202439.2408708
2021-12-07,ZRX,894608969.997782,43403370.2335649
2021-12-08,ZRX,912193022.012225,29259225.6850648
2021-12-09,ZRX,867991212.483728,74447034.5116478
2021-12-10,ZRX,808536343.412843,37339255.3089303
2021-12-11,ZRX,847514050.527952,13222816.5849142
2021-12-12,ZRX,840913324.428484,9453754.83980765
2021-12-13,ZRX,755107314.0713,17698774.6228211
2021-12-14,ZRX,765984481.175259,15287639.2278642
2021-12-15,ZRX,787980643.068265,21276509.9909885
2021-12-16,ZRX,780210951.199926,16979381.4272868
2021-12-17,ZRX,774869278.240971,19922959.3419589
2021-12-18,ZRX,784807010.85419,13058010.8714346
2021-12-19,ZRX,775944264.011157,13642734.0375479
2021-12-20,ZRX,756667792.722174,24905756.3205281
2021-12-21,ZRX,782582513.956982,15185417.0637559
2021-12-22,ZRX,825685752.320185,23752763.9123681
2021-12-23,ZRX,883919067.372446,26247699.0821862
2021-12-24,ZRX,850369665.675197,21379781.996481
2021-12-25,ZRX,864325409.358284,11548173.9022967
2021-12-26,ZRX,878186542.989354,13917640.8411029
2021-12-27,ZRX,878839580.784682,15402451.8773868
2021-12-28,ZRX,805246333.28553,19048943.4981906
2021-12-29,ZRX,758554252.664044,22216139.2262956
2021-12-30,ZRX,793950345.521537,17460686.6021009
2021-12-31,ZRX,805705430.605679,22595088.7762342
